Finish,English
on,is
ei,No
ja,and
se,it
hän,he
en,not
mitä,what
että,that
ole,be
olen,I am
oli,was
niin,so
mutta,but
sen,its
vain,only
minä,I
jos,if
tämä,this
nyt,now
voi,butter
sinä,you
olet,are
kun,when
sitä,the
kuin,than
he,they
hänen,his
täällä,here
olla,be
et,not
kaikki,all
minun,my
ovat,are
hyvä,good
minua,me
sitten,then
onko,whether
miksi,why
sinua,you
miten,how
sinun,your
älä,area
siitä,thence
hänet,him
mitään,anything
kyllä,Yes
kiitos,thank you
hei,Hey
mikä,What
olisi,should
ne,they
kanssa,with
pitää,keep
joka,which
ollut,had been
tai,or
häntä,him
tässä,here
tiedä,know
minulle,to me
minulla,me
jotain,something
ehkä,perhaps
missä,where
tuo,that
minut,me
me,we
oletko,Are you
kuka,Who
hyvin,very
anteeksi,Sorry
vielä,yet
tämän,this
sinut,thee
sinulle,for you
jo,already
koska,because
haluan,I want
olemme,are
tiedän,I know
tehdä,make
tänne,here
meidän,our
emme,we do not
saa,weather
tule,Come
paljon,a lot
siellä,there
anna,let
eivät,not
tätä,this
pois,off
ennen,before
sinulla,you have
täytyy,must
aina,always
tulee,comes
siinä,there
enää,any more
eikö,not
