Greek,English
να,to
το,the
δεν,not
είναι,is
θα,I will
και,and
μου,my
με,with
για,for
την,her
ο,The
η,the
τον,him
τα,the
που,where
σου,your
σε,in
αυτό,this
του,of
τι,what
ότι,that
από,from
στο,in the
της,her
όχι,no
ναι,Yes
ένα,one
τη,her
αν,if
αλλά,but
εδώ,here
μια,a
σας,your
τους,their
ήταν,it was
μας,us
πρέπει,must
είσαι,are you
είμαι,I am
οι,the
στην,to
πολύ,very
κι,and
γιατί,why
πως,how
τώρα,now
εγώ,I
εντάξει,Okay
κάτι,something
έχει,he's got
ξέρω,I know
τις,the
έχω,I have
δε,not
μην,do not
έτσι,so
εσύ,you
καλά,good
αυτή,she
θέλω,I want
όταν,when
στον,in
στη,to
μπορώ,can
ξέρεις,You know
έχεις,you have
κάνεις,you do
μόνο,only
μαζί,together
εκεί,there
σαν,like
όλα,all
τίποτα,nothing
σ,a
ευχαριστώ,thanks
ή,the
πώς,how
κάνω,I am doing
απ,by
τόσο,such a
μπορεί,it can
κάνει,do
ποτέ,never
απλά,simply
αυτά,that's all
των,of
έλα,come
λοιπόν,well
στα,in
υπάρχει,exists
ακόμα,still
μπορείς,You can
μέσα,inside
πάμε,go
σπίτι,home
αυτός,he
τότε,then
ίσως,maybe
έχουμε,we have
γι,for
