Slovak,English
to,that
sa,was
je,is a
si,are u
som,I am a
a,and
na,on the
že,that
čo,what
nie,not
v,in
ako,how
tak,so
ale,but
by,would
s,with
mi,mi
o,about
tu,here
ja,me
sme,We are
ste,you are
áno,Yes
z,from
len,only
ma,me
už,already
aby,to
dobre,all right
ho,him
keď,when
ak,if
ty,you
ti,ti
za,for
ťa,you
bol,he was
pre,for
sú,They are
tam,PUSH
prečo,Why
niečo,something
toto,this
no,no
teraz,now
aj,to
hej,hey
mám,I have
byť,a flat
ich,them
bude,will be
ju,Ju
takže,So
ten,the one
všetko,everything
tom,Tom
nič,nothing
vás,you
kde,where
kto,who
k,k
po,after
bolo,It was
bola,she was
ešte,still
vám,you
toho,that
alebo,or
jej,her
má,has
môj,my
jeho,His
myslím,I mean
máš,you have
viem,I know
vieš,U know
mňa,me
poriadku,the order of order
tým,to do so
veľmi,very
mal,he had
prosím,please
potom,then
nikdy,never
možno,perhaps
od,from
nás,us
ani,not even
so,so
povedal,he said
chcem,I want to
neviem,I do not know
mu,him
ďakujem,well thank you
ísť,go
vy,you
naozaj,really
stále,all the time
teba,you
